rr_threshold,net_score,lowest_drawdown,total_trades,quality_metric,file_path
74,22262.0,-1695,11330,131.33923303834808,../version_2_Level_1_filtered_results\rr_threshold_74\final_result_rr_74.csv
75,22345.0,-1677,11330,133.2438878950507,../version_2_Level_1_filtered_results\rr_threshold_75\final_result_rr_75.csv
76,22577.5,-1659,11325,136.0910186859554,../version_2_Level_1_filtered_results\rr_threshold_76\final_result_rr_76.csv
77,22885.3,-1638,11317,139.7148962148962,../version_2_Level_1_filtered_results\rr_threshold_77\final_result_rr_77.csv
78,23137.6,-1610,11284,143.711801242236,../version_2_Level_1_filtered_results\rr_threshold_78\final_result_rr_78.csv
79,23407.0,-1579,11230,148.239392020266,../version_2_Level_1_filtered_results\rr_threshold_79\final_result_rr_79.csv
80,23695.0,-1520,11080,155.88815789473682,../version_2_Level_1_filtered_results\rr_threshold_80\final_result_rr_80.csv
81,23898.6,-1584,11074,150.875,../version_2_Level_1_filtered_results\rr_threshold_81\final_result_rr_81.csv
82,24096.2,-1650,11068,146.03757575757575,../version_2_Level_1_filtered_results\rr_threshold_82\final_result_rr_82.csv
83,24222.5,-1628,11045,148.78685503685503,../version_2_Level_1_filtered_results\rr_threshold_83\final_result_rr_83.csv
84,24570.5,-1612,11045,152.4224565756824,../version_2_Level_1_filtered_results\rr_threshold_84\final_result_rr_84.csv
85,24750.0,-1595,11040,155.17241379310343,../version_2_Level_1_filtered_results\rr_threshold_85\final_result_rr_85.csv
86,24927.9,-1578,11031,157.97148288973384,../version_2_Level_1_filtered_results\rr_threshold_86\final_result_rr_86.csv
87,25105.3,-1567,11097,160.21250797702618,../version_2_Level_1_filtered_results\rr_threshold_87\final_result_rr_87.csv
88,25321.7,-1544,11043,164.00064766839378,../version_2_Level_1_filtered_results\rr_threshold_88\final_result_rr_88.csv
89,25286.1,-1535,11049,164.73029315960912,../version_2_Level_1_filtered_results\rr_threshold_89\final_result_rr_89.csv
90,25621.8,-1544,11122,165.9443005181347,../version_2_Level_1_filtered_results\rr_threshold_90\final_result_rr_90.csv
91,25942.1,-1640,11209,158.18353658536586,../version_2_Level_1_filtered_results\rr_threshold_91\final_result_rr_91.csv
92,26265.1,-1625,11209,161.6313846153846,../version_2_Level_1_filtered_results\rr_threshold_92\final_result_rr_92.csv
93,26412.4,-1607,11196,164.35843186060984,../version_2_Level_1_filtered_results\rr_threshold_93\final_result_rr_93.csv
94,25969.4,-1687,11196,153.9383521043272,../version_2_Level_1_filtered_results\rr_threshold_94\final_result_rr_94.csv
95,26196.9,-1670,11181,156.8676646706587,../version_2_Level_1_filtered_results\rr_threshold_95\final_result_rr_95.csv
96,26214.3,-1656,11177,158.29891304347825,../version_2_Level_1_filtered_results\rr_threshold_96\final_result_rr_96.csv
97,26355.8,-1735,11142,151.9066282420749,../version_2_Level_1_filtered_results\rr_threshold_97\final_result_rr_97.csv
98,26749.8,-1722,11142,155.34146341463415,../version_2_Level_1_filtered_results\rr_threshold_98\final_result_rr_98.csv
99,27043.8,-1709,11142,158.2434172030427,../version_2_Level_1_filtered_results\rr_threshold_99\final_result_rr_99.csv
100,27343.5,-1694,11135,161.413813459268,../version_2_Level_1_filtered_results\rr_threshold_100\final_result_rr_100.csv
101,27364.9,-1716,11101,159.46911421911423,../version_2_Level_1_filtered_results\rr_threshold_101\final_result_rr_101.csv
102,27645.1,-1735,11199,159.33775216138326,../version_2_Level_1_filtered_results\rr_threshold_102\final_result_rr_102.csv
103,27847.1,-1720,11179,161.9017441860465,../version_2_Level_1_filtered_results\rr_threshold_103\final_result_rr_103.csv
104,27945.6,-1704,11154,163.99999999999997,../version_2_Level_1_filtered_results\rr_threshold_104\final_result_rr_104.csv
105,28019.4,-1691,11146,165.69722057953874,../version_2_Level_1_filtered_results\rr_threshold_105\final_result_rr_105.csv
106,28185.4,-1678,11146,167.97020262216924,../version_2_Level_1_filtered_results\rr_threshold_106\final_result_rr_106.csv
107,28347.4,-1665,11146,170.25465465465467,../version_2_Level_1_filtered_results\rr_threshold_107\final_result_rr_107.csv
108,28514.2,-1651,11138,172.70866141732284,../version_2_Level_1_filtered_results\rr_threshold_108\final_result_rr_108.csv
109,28778.2,-1638,11138,175.6910866910867,../version_2_Level_1_filtered_results\rr_threshold_109\final_result_rr_109.csv
111,29197.0,-1611,11130,181.2352576039727,../version_2_Level_1_filtered_results\rr_threshold_111\final_result_rr_111.csv
112,29454.0,-1598,11130,184.31789737171465,../version_2_Level_1_filtered_results\rr_threshold_112\final_result_rr_112.csv
114,29996.1,-1563,11099,191.91362763915546,../version_2_Level_1_filtered_results\rr_threshold_114\final_result_rr_114.csv
115,30228.0,-1688,10800,179.07582938388623,../version_2_Level_1_filtered_results\rr_threshold_115\final_result_rr_115.csv
116,30010.1,-1755,11009,170.9977207977208,../version_2_Level_1_filtered_results\rr_threshold_116\final_result_rr_116.csv
117,30134.1,-1862,11009,161.83727175080557,../version_2_Level_1_filtered_results\rr_threshold_117\final_result_rr_117.csv
118,30045.8,-1842,10982,163.11509229098806,../version_2_Level_1_filtered_results\rr_threshold_118\final_result_rr_118.csv
119,30159.8,-1832,10982,164.6277292576419,../version_2_Level_1_filtered_results\rr_threshold_119\final_result_rr_119.csv
120,30220.3,-1924,10917,157.07016632016632,../version_2_Level_1_filtered_results\rr_threshold_120\final_result_rr_120.csv
121,29863.2,-2687,10228,111.13956084852997,../version_2_Level_1_filtered_results\rr_threshold_121\final_result_rr_121.csv
