Type,Date,Price,BalanceBefore,Profit,BalanceAfter
BUY,2010-12-28 06:30:00,1389.8,10248.78007,,
SELL,2011-01-04 18:30:00,1377.2,,-12.599999999999909,10236.18007
BUY,2011-01-10 22:30:00,1375.55,10236.18007,,
SELL,2011-01-14 02:30:00,1376.15,,0.6000000000001364,10236.78007
BUY,2011-01-19 14:30:00,1372.65,10236.78007,,
SELL,2011-01-20 18:30:00,1348.05,,-24.600000000000136,10212.18007
BUY,2011-01-27 06:30:00,1345.25,10212.18007,,
SELL,2011-01-28 02:30:00,1313.6,,-31.65000000000009,10180.53007
BUY,2011-01-31 10:30:00,1329.75,10180.53007,,
SELL,2011-02-03 02:30:00,1335.75,,6.0,10186.53007
BUY,2011-02-03 22:30:00,1354.2,10186.53007,,
SELL,2011-02-11 22:30:00,1356.45,,2.25,10188.78007
BUY,2011-02-15 02:30:00,1364.5,10188.78007,,
SELL,2011-02-25 18:30:00,1409.1,,44.59999999999991,10233.380070000001
BUY,2011-02-28 10:30:00,1410.85,10233.380070000001,,
SELL,2011-03-04 02:30:00,1418.0,,7.150000000000091,10240.53007
BUY,2011-03-07 06:30:00,1436.65,10240.53007,,
SELL,2011-03-09 10:30:00,1429.9,,-6.75,10233.78007
BUY,2011-03-14 13:30:00,1429.65,10233.78007,,
SELL,2011-03-15 17:30:00,1394.65,,-35.0,10198.78007
BUY,2011-03-18 05:30:00,1412.05,10198.78007,,
SELL,2011-03-25 22:30:00,1427.75,,15.700000000000045,10214.480070000001
BUY,2011-03-31 02:30:00,1424.25,10214.480070000001,,
SELL,2011-04-04 10:30:00,1432.4,,8.150000000000091,10222.630070000001
BUY,2011-04-04 14:30:00,1434.35,10222.630070000001,,
SELL,2011-04-12 10:30:00,1463.05,,28.700000000000045,10251.330070000002
BUY,2011-04-14 18:30:00,1471.8,10251.330070000002,,
SELL,2011-04-26 10:30:00,1504.4,,32.600000000000136,10283.930070000002
BUY,2011-04-27 14:30:00,1510.8,10283.930070000002,,
SELL,2011-05-03 18:30:00,1533.65,,22.850000000000136,10306.780070000003
BUY,2011-05-09 22:30:00,1513.34,10306.780070000003,,
SELL,2011-05-12 06:30:00,1497.0,,-16.339999999999918,10290.440070000002
BUY,2011-05-18 22:30:00,1497.0,10290.440070000002,,
SELL,2011-05-27 02:30:00,1524.65,,27.65000000000009,10318.090070000002
BUY,2011-05-27 18:30:00,1534.48,10318.090070000002,,
SELL,2011-06-01 10:30:00,1532.35,,-2.130000000000109,10315.960070000001
BUY,2011-06-02 02:30:00,1540.12,10315.960070000001,,
SELL,2011-06-03 06:30:00,1532.07,,-8.049999999999955,10307.910070000002
BUY,2011-06-06 02:30:00,1544.85,10307.910070000002,,
SELL,2011-06-08 14:30:00,1537.05,,-7.7999999999999545,10300.110070000002
BUY,2011-06-10 10:30:00,1541.18,10300.110070000002,,
SELL,2011-06-10 22:30:00,1530.99,,-10.190000000000055,10289.920070000002
BUY,2011-06-15 22:30:00,1530.6,10289.920070000002,,
SELL,2011-06-23 18:30:00,1516.15,,-14.449999999999818,10275.470070000003
BUY,2011-06-29 14:30:00,1503.61,10275.470070000003,,
SELL,2011-07-01 06:30:00,1498.9,,-4.709999999999809,10270.760070000004
BUY,2011-07-05 14:30:00,1509.7,10270.760070000004,,
SELL,2011-07-20 10:30:00,1586.85,,77.14999999999986,10347.910070000004
BUY,2011-07-21 10:30:00,1598.55,10347.910070000004,,
SELL,2011-07-22 02:30:00,1589.95,,-8.599999999999909,10339.310070000003
BUY,2011-07-22 22:30:00,1602.4,10339.310070000003,,
SELL,2011-07-28 14:30:00,1613.8,,11.399999999999864,10350.710070000003
BUY,2011-07-29 18:30:00,1626.15,10350.710070000003,,
SELL,2011-08-01 22:30:00,1619.26,,-6.8900000000001,10343.820070000003
BUY,2011-08-02 02:30:00,1619.71,10343.820070000003,,
SELL,2011-08-05 14:30:00,1660.95,,41.24000000000001,10385.060070000003
BUY,2011-08-08 02:30:00,1692.8,10385.060070000003,,
SELL,2011-08-12 10:30:00,1750.25,,57.450000000000045,10442.510070000004
BUY,2011-08-16 10:30:00,1779.31,10442.510070000004,,
SELL,2011-08-24 06:30:00,1840.86,,61.549999999999955,10504.060070000003
BUY,2011-08-29 02:30:00,1813.55,10504.060070000003,,
SELL,2011-09-07 10:30:00,1843.0,,29.450000000000045,10533.510070000004
BUY,2011-09-09 10:30:00,1873.55,10533.510070000004,,
SELL,2011-09-12 22:30:00,1814.8,,-58.75,10474.760070000004
BUY,2011-09-19 10:30:00,1817.0,10474.760070000004,,
SELL,2011-09-20 02:30:00,1782.25,,-34.75,10440.010070000004
BUY,2011-09-21 02:30:00,1801.1,10440.010070000004,,
SELL,2011-09-22 05:30:00,1775.25,,-25.84999999999991,10414.160070000004
BUY,2011-09-28 17:30:00,1608.3,10414.160070000004,,
SELL,2011-09-28 21:30:00,1609.05,,0.75,10414.910070000004
BUY,2011-10-03 13:30:00,1651.8,10414.910070000004,,
SELL,2011-10-05 05:30:00,1624.7,,-27.09999999999991,10387.810070000003
BUY,2011-10-06 13:30:00,1635.6,10387.810070000003,,
SELL,2011-10-13 17:30:00,1664.3,,28.700000000000045,10416.510070000004
BUY,2011-10-14 17:30:00,1682.45,10416.510070000004,,
SELL,2011-10-18 09:30:00,1657.15,,-25.299999999999955,10391.210070000005
BUY,2011-10-24 09:30:00,1651.57,10391.210070000005,,
SELL,2011-10-31 13:30:00,1718.86,,67.28999999999996,10458.500070000006
BUY,2011-11-02 17:30:00,1730.98,10458.500070000006,,
SELL,2011-11-10 06:30:00,1757.0,,26.019999999999982,10484.520070000006
BUY,2011-11-14 02:30:00,1793.75,10484.520070000006,,
SELL,2011-11-15 22:30:00,1780.55,,-13.200000000000045,10471.320070000005
BUY,2011-11-25 06:30:00,1685.137,10471.320070000005,,
SELL,2011-11-25 14:30:00,1686.5,,1.3630000000000564,10472.683070000005
BUY,2011-11-28 14:30:00,1714.8,10472.683070000005,,
SELL,2011-12-05 22:30:00,1722.6,,7.7999999999999545,10480.483070000004
BUY,2011-12-07 22:30:00,1741.59,10480.483070000004,,
SELL,2011-12-09 02:30:00,1713.94,,-27.649999999999864,10452.833070000004
BUY,2011-12-19 10:30:00,1596.2,10452.833070000004,,
SELL,2011-12-22 22:30:00,1605.57,,9.36999999999989,10462.203070000003
BUY,2012-01-03 02:30:00,1577.05,10462.203070000003,,
SELL,2012-01-09 14:30:00,1616.838,,39.78800000000001,10501.991070000004
BUY,2012-01-10 18:30:00,1632.3,10501.991070000004,,
SELL,2012-01-13 22:30:00,1639.27,,6.970000000000027,10508.961070000003
BUY,2012-01-17 06:30:00,1658.71,10508.961070000003,,
SELL,2012-01-20 10:30:00,1646.3,,-12.410000000000082,10496.551070000003
BUY,2012-01-23 02:30:00,1667.45,10496.551070000003,,
SELL,2012-01-25 06:30:00,1668.1,,0.6499999999998636,10497.201070000003
BUY,2012-01-26 02:30:00,1710.485,10497.201070000003,,
SELL,2012-02-06 02:30:00,1735.831,,25.346000000000004,10522.547070000002
BUY,2012-02-08 06:30:00,1750.5,10522.547070000002,,
SELL,2012-02-10 10:30:00,1719.9,,-30.59999999999991,10491.947070000002
BUY,2012-02-15 14:30:00,1734.7,10491.947070000002,,
SELL,2012-02-16 18:30:00,1726.713,,-7.98700000000008,10483.960070000001
BUY,2012-02-17 06:30:00,1731.45,10483.960070000001,,
SELL,2012-02-27 14:30:00,1770.3,,38.84999999999991,10522.810070000001
BUY,2012-02-28 22:30:00,1783.95,10522.810070000001,,
SELL,2012-02-29 22:30:00,1696.6,,-87.35000000000014,10435.460070000001
BUY,2012-03-08 18:30:00,1698.2,10435.460070000001,,
SELL,2012-03-13 17:30:00,1693.41,,-4.789999999999964,10430.67007
BUY,2012-03-19 05:30:00,1662.1,10430.67007,,
SELL,2012-03-20 17:30:00,1647.789,,-14.310999999999922,10416.35907
BUY,2012-03-23 18:30:00,1663.9,10416.35907,,
SELL,2012-03-28 22:30:00,1663.45,,-0.4500000000000455,10415.90907
BUY,2012-04-02 06:30:00,1668.65,10415.90907,,
SELL,2012-04-04 06:30:00,1643.72,,-24.930000000000064,10390.97907
BUY,2012-04-09 06:30:00,1643.15,10390.97907,,
SELL,2012-04-16 06:30:00,1647.75,,4.599999999999909,10395.57907
BUY,2012-04-25 02:30:00,1642.13,10395.57907,,
SELL,2012-05-02 14:30:00,1649.525,,7.394999999999982,10402.97407
BUY,2012-05-17 22:30:00,1573.95,10402.97407,,
SELL,2012-05-22 22:30:00,1568.25,,-5.7000000000000455,10397.27407
BUY,2012-05-25 22:30:00,1572.9,10397.27407,,
SELL,2012-05-30 02:30:00,1551.9,,-21.0,10376.27407
BUY,2012-05-31 14:30:00,1557.36,10376.27407,,
SELL,2012-05-31 18:30:00,1561.969,,4.609000000000151,10380.88307
BUY,2012-06-01 18:30:00,1625.8,10380.88307,,
SELL,2012-06-07 18:30:00,1587.4,,-38.399999999999864,10342.48307
BUY,2012-06-12 18:30:00,1610.85,10342.48307,,
SELL,2012-06-20 06:30:00,1621.2,,10.350000000000136,10352.83307
BUY,2012-06-26 06:30:00,1583.995,10352.83307,,
SELL,2012-06-27 10:30:00,1569.0,,-14.99499999999989,10337.838070000002
BUY,2012-06-29 22:30:00,1597.05,10337.838070000002,,
SELL,2012-07-06 02:30:00,1605.2,,8.150000000000091,10345.988070000001
BUY,2012-07-13 18:30:00,1592.125,10345.988070000001,,
SELL,2012-07-18 10:30:00,1577.577,,-14.548000000000002,10331.44007
BUY,2012-07-20 22:30:00,1584.231,10331.44007,,
SELL,2012-07-23 18:30:00,1576.352,,-7.878999999999905,10323.56107
BUY,2012-07-25 06:30:00,1584.05,10323.56107,,
SELL,2012-08-01 02:30:00,1612.91,,28.860000000000127,10352.42107
