rr_threshold,net_score,max_losing_streak,total_trades,quality_metric,file_path
101,27364.9,1035,11101,264.3951690821256,../version_2_Level_1_filtered_results\rr_threshold_101\final_result_rr_101.csv
102,27645.1,1039,11199,266.0741097208854,../version_2_Level_1_filtered_results\rr_threshold_102\final_result_rr_102.csv
103,27847.1,1035,11179,269.0541062801932,../version_2_Level_1_filtered_results\rr_threshold_103\final_result_rr_103.csv
104,27945.6,1031,11154,271.0533462657614,../version_2_Level_1_filtered_results\rr_threshold_104\final_result_rr_104.csv
105,28019.4,1031,11146,271.7691561590689,../version_2_Level_1_filtered_results\rr_threshold_105\final_result_rr_105.csv
106,28185.4,1031,11146,273.37924345295835,../version_2_Level_1_filtered_results\rr_threshold_106\final_result_rr_106.csv
107,28347.4,1031,11146,274.95053346265763,../version_2_Level_1_filtered_results\rr_threshold_107\final_result_rr_107.csv
108,28514.2,1029,11138,277.1059280855199,../version_2_Level_1_filtered_results\rr_threshold_108\final_result_rr_108.csv
109,28778.2,1029,11138,279.6715257531584,../version_2_Level_1_filtered_results\rr_threshold_109\final_result_rr_109.csv
111,29197.0,1029,11130,283.74149659863946,../version_2_Level_1_filtered_results\rr_threshold_111\final_result_rr_111.csv
112,29454.0,1029,11130,286.2390670553936,../version_2_Level_1_filtered_results\rr_threshold_112\final_result_rr_112.csv
114,29996.1,1029,11099,291.5072886297376,../version_2_Level_1_filtered_results\rr_threshold_114\final_result_rr_114.csv
115,30228.0,1241,10800,243.5777598710717,../version_2_Level_1_filtered_results\rr_threshold_115\final_result_rr_115.csv
116,30010.1,1250,11009,240.08079999999998,../version_2_Level_1_filtered_results\rr_threshold_116\final_result_rr_116.csv
117,30134.1,1250,11009,241.0728,../version_2_Level_1_filtered_results\rr_threshold_117\final_result_rr_117.csv
118,30045.8,1250,10982,240.3664,../version_2_Level_1_filtered_results\rr_threshold_118\final_result_rr_118.csv
119,30159.8,1250,10982,241.2784,../version_2_Level_1_filtered_results\rr_threshold_119\final_result_rr_119.csv
120,30220.3,1242,10917,243.3196457326892,../version_2_Level_1_filtered_results\rr_threshold_120\final_result_rr_120.csv
121,29863.2,2360,10228,126.53898305084746,../version_2_Level_1_filtered_results\rr_threshold_121\final_result_rr_121.csv
122,30077.2,2360,10228,127.4457627118644,../version_2_Level_1_filtered_results\rr_threshold_122\final_result_rr_122.csv
123,30229.2,1151,10508,262.6342311033884,../version_2_Level_1_filtered_results\rr_threshold_123\final_result_rr_123.csv
124,30316.2,1151,10508,263.3900955690704,../version_2_Level_1_filtered_results\rr_threshold_124\final_result_rr_124.csv
125,30338.0,2359,10220,128.6053412462908,../version_2_Level_1_filtered_results\rr_threshold_125\final_result_rr_125.csv
126,30050.6,2359,10204,127.38702840186518,../version_2_Level_1_filtered_results\rr_threshold_126\final_result_rr_126.csv
127,30119.6,2359,10204,127.67952522255192,../version_2_Level_1_filtered_results\rr_threshold_127\final_result_rr_127.csv
128,30061.1,2359,10199,127.43153878762186,../version_2_Level_1_filtered_results\rr_threshold_128\final_result_rr_128.csv
129,30251.1,2359,10199,128.2369648155998,../version_2_Level_1_filtered_results\rr_threshold_129\final_result_rr_129.csv
130,30335.6,2354,10174,128.86830926083263,../version_2_Level_1_filtered_results\rr_threshold_130\final_result_rr_130.csv
131,30439.2,2345,10128,129.8046908315565,../version_2_Level_1_filtered_results\rr_threshold_131\final_result_rr_131.csv
134,31114.2,2345,10128,132.68315565031983,../version_2_Level_1_filtered_results\rr_threshold_134\final_result_rr_134.csv
135,31427.2,2345,10128,134.01791044776118,../version_2_Level_1_filtered_results\rr_threshold_135\final_result_rr_135.csv
136,31466.2,2345,10128,134.18422174840086,../version_2_Level_1_filtered_results\rr_threshold_136\final_result_rr_136.csv
137,31539.7,2336,10093,135.0158390410959,../version_2_Level_1_filtered_results\rr_threshold_137\final_result_rr_137.csv
138,32087.9,1146,10381,279.99912739965094,../version_2_Level_1_filtered_results\rr_threshold_138\final_result_rr_138.csv
139,32259.3,1206,10637,267.4900497512438,../version_2_Level_1_filtered_results\rr_threshold_139\final_result_rr_139.csv
142,32661.2,2378,10218,137.34735071488646,../version_2_Level_1_filtered_results\rr_threshold_142\final_result_rr_142.csv
144,32985.2,2378,10218,138.70984020185028,../version_2_Level_1_filtered_results\rr_threshold_144\final_result_rr_144.csv
145,33144.2,2378,10218,139.3784693019344,../version_2_Level_1_filtered_results\rr_threshold_145\final_result_rr_145.csv
147,33752.2,2378,10218,141.93523969722455,../version_2_Level_1_filtered_results\rr_threshold_147\final_result_rr_147.csv
148,33779.1,2825,10199,119.57203539823008,../version_2_Level_1_filtered_results\rr_threshold_148\final_result_rr_148.csv
149,33931.1,2825,10199,120.11008849557521,../version_2_Level_1_filtered_results\rr_threshold_149\final_result_rr_149.csv
150,33570.6,2817,10114,119.17145899893504,../version_2_Level_1_filtered_results\rr_threshold_150\final_result_rr_150.csv
151,33569.2,2816,10108,119.2088068181818,../version_2_Level_1_filtered_results\rr_threshold_151\final_result_rr_151.csv
152,33710.2,2816,10108,119.70951704545453,../version_2_Level_1_filtered_results\rr_threshold_152\final_result_rr_152.csv
153,33849.2,2816,10108,120.20312499999999,../version_2_Level_1_filtered_results\rr_threshold_153\final_result_rr_153.csv
154,33876.3,2807,10067,120.68507303170645,../version_2_Level_1_filtered_results\rr_threshold_154\final_result_rr_154.csv
155,34159.7,2808,10073,121.65135327635326,../version_2_Level_1_filtered_results\rr_threshold_155\final_result_rr_155.csv
156,34292.7,2808,10073,122.12499999999999,../version_2_Level_1_filtered_results\rr_threshold_156\final_result_rr_156.csv
157,34298.7,2801,10043,122.45162441985005,../version_2_Level_1_filtered_results\rr_threshold_157\final_result_rr_157.csv
158,34677.2,1784,10538,194.37892376681611,../version_2_Level_1_filtered_results\rr_threshold_158\final_result_rr_158.csv
159,34648.2,1784,10538,194.21636771300444,../version_2_Level_1_filtered_results\rr_threshold_159\final_result_rr_159.csv
160,34776.2,1784,10538,194.93385650224212,../version_2_Level_1_filtered_results\rr_threshold_160\final_result_rr_160.csv
162,35064.7,1778,10503,197.2142857142857,../version_2_Level_1_filtered_results\rr_threshold_162\final_result_rr_162.csv
163,34873.0,1777,10490,196.24648283624083,../version_2_Level_1_filtered_results\rr_threshold_163\final_result_rr_163.csv
165,34941.0,1777,10490,196.62915025323576,../version_2_Level_1_filtered_results\rr_threshold_165\final_result_rr_165.csv
166,34944.2,1769,10438,197.53646127755795,../version_2_Level_1_filtered_results\rr_threshold_166\final_result_rr_166.csv
167,35075.1,1769,10419,198.27642736009045,../version_2_Level_1_filtered_results\rr_threshold_167\final_result_rr_167.csv
168,35183.1,1769,10419,198.88694177501412,../version_2_Level_1_filtered_results\rr_threshold_168\final_result_rr_168.csv
169,35185.1,1756,10359,200.37072892938497,../version_2_Level_1_filtered_results\rr_threshold_169\final_result_rr_169.csv
170,35117.1,1756,10359,199.98348519362187,../version_2_Level_1_filtered_results\rr_threshold_170\final_result_rr_170.csv
171,35139.7,1748,10273,201.02803203661324,../version_2_Level_1_filtered_results\rr_threshold_171\final_result_rr_171.csv
174,35949.7,1748,10273,205.66189931350112,../version_2_Level_1_filtered_results\rr_threshold_174\final_result_rr_174.csv
175,35867.7,1748,10273,205.1927917620137,../version_2_Level_1_filtered_results\rr_threshold_175\final_result_rr_175.csv
177,36217.8,1776,10442,203.92905405405406,../version_2_Level_1_filtered_results\rr_threshold_177\final_result_rr_177.csv
178,36127.8,1776,10442,203.4222972972973,../version_2_Level_1_filtered_results\rr_threshold_178\final_result_rr_178.csv
180,36323.1,1773,10419,204.86802030456852,../version_2_Level_1_filtered_results\rr_threshold_180\final_result_rr_180.csv
181,36041.1,1773,10419,203.27749576988154,../version_2_Level_1_filtered_results\rr_threshold_181\final_result_rr_181.csv
183,36563.1,1773,10419,206.22165820642977,../version_2_Level_1_filtered_results\rr_threshold_183\final_result_rr_183.csv
184,36639.1,1773,10419,206.65031020868582,../version_2_Level_1_filtered_results\rr_threshold_184\final_result_rr_184.csv
186,36997.4,1770,10396,209.02485875706216,../version_2_Level_1_filtered_results\rr_threshold_186\final_result_rr_186.csv
187,36728.7,1767,10363,207.85908319185057,../version_2_Level_1_filtered_results\rr_threshold_187\final_result_rr_187.csv
188,36795.7,1767,10363,208.2382569326542,../version_2_Level_1_filtered_results\rr_threshold_188\final_result_rr_188.csv
189,36573.1,1761,10279,207.68370244179442,../version_2_Level_1_filtered_results\rr_threshold_189\final_result_rr_189.csv
191,36885.1,1761,10279,209.45542305508232,../version_2_Level_1_filtered_results\rr_threshold_191\final_result_rr_191.csv
192,36972.8,1760,10252,210.0727272727273,../version_2_Level_1_filtered_results\rr_threshold_192\final_result_rr_192.csv
