date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,hour
2016-08-22,18:30:00,Monday,Buy,1338.41,1334.93,3.48,6.18,1.78,11,Stop Loss,18
2022-04-20,18:30:00,Wednesday,Buy,1952.11,1948.72,3.39,6.07,1.79,4,Stop Loss,18
2019-01-03,18:30:00,Thursday,Buy,1291.19,1287.16,4.03,7.23,1.79,5,Stop Loss,18
2022-01-04,18:30:00,Tuesday,Buy,1815.18,1807.2,7.98,14.3,1.79,8,Stop Loss,18
2021-08-31,18:30:00,Tuesday,Buy,1814.55,1803.82,10.73,19.29,1.8,29,Stop Loss,18
2010-12-13,18:30:00,Monday,Buy,1398.35,1392.9,5.45,9.85,1.81,5,Stop Loss,18
2011-01-26,18:30:00,Wednesday,Buy,1333.0,1324.7,8.3,15.0,1.81,6,Stop Loss,18
2011-11-29,18:30:00,Tuesday,Buy,1714.31,1707.53,6.78,12.29,1.81,4,Stop Loss,18
2015-11-18,18:30:00,Wednesday,Buy,1069.73,1066.63,3.1,5.67,1.83,1,Stop Loss,18
2012-04-09,18:30:00,Monday,Buy,1645.6,1636.14,9.46,17.35,1.83,6,Stop Loss,18
2012-06-22,18:30:00,Friday,Buy,1568.55,1557.8,10.75,19.62,1.83,24,Stop Loss,18
2022-11-14,18:30:00,Monday,Buy,1773.36,1766.23,7.13,13.06,1.83,15,Stop Loss,18
2017-04-19,18:30:00,Wednesday,Buy,1280.51,1276.36,4.15,7.62,1.84,14,Stop Loss,18
2011-07-18,18:30:00,Monday,Buy,1602.55,1598.45,4.1,7.53,1.84,5,Stop Loss,18
2021-12-23,18:30:00,Thursday,Buy,1808.72,1802.55,6.17,11.37,1.84,19,Stop Loss,18
2011-02-08,18:30:00,Tuesday,Buy,1363.55,1361.55,2.0,3.7,1.85,6,Stop Loss,18
2009-12-02,18:30:00,Wednesday,Buy,1213.74,1206.89,6.85,12.65,1.85,6,Stop Loss,18
2019-07-18,18:30:00,Thursday,Buy,1429.93,1417.66,12.27,22.87,1.86,14,Stop Loss,18
2017-02-06,18:30:00,Monday,Buy,1231.78,1224.96,6.82,12.78,1.87,19,Stop Loss,18
2013-08-15,18:30:00,Thursday,Buy,1362.23,1324.51,37.72,71.38,1.89,120,Stop Loss,18
