date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,hour
2009-03-09,01:30:00,Monday,Sell,938.88,942.44,3.56,54.98,15.44,47,Stop Loss,01
2020-03-10,01:30:00,Tuesday,Sell,1669.02,1680.63,11.61,217.94,18.77,135,Stop Loss,01
2012-10-19,01:30:00,Friday,Sell,1739.9,1743.39,3.49,67.4,19.31,154,Stop Loss,01
2023-09-13,01:30:00,Wednesday,Sell,1911.12,1913.95,2.83,5.71,2.02,3,Stop Loss,01
2015-10-05,01:30:00,Monday,Sell,1136.48,1139.65,3.17,6.41,2.02,3,Stop Loss,01
2025-09-17,01:30:00,Wednesday,Sell,3679.19,3695.47,16.28,33.04,2.03,5,Stop Loss,01
2024-09-30,01:30:00,Monday,Sell,2652.37,2666.08,13.71,27.82,2.03,9,Stop Loss,01
2023-03-24,01:30:00,Friday,Sell,1990.43,1994.98,4.55,9.29,2.04,3,Stop Loss,01
2018-10-08,01:30:00,Monday,Sell,1197.11,1204.14,7.03,14.46,2.06,20,Stop Loss,01
2022-10-05,01:30:00,Wednesday,Sell,1719.65,1726.24,6.59,13.66,2.07,2,Stop Loss,01
2013-03-14,01:30:00,Thursday,Sell,1585.4,1589.9,4.5,9.59,2.13,4,Stop Loss,01
2025-08-21,01:30:00,Thursday,Sell,3342.58,3352.27,9.69,21.19,2.19,10,Stop Loss,01
2023-10-04,01:30:00,Wednesday,Sell,1822.43,1825.11,2.68,5.89,2.2,3,Stop Loss,01
2025-05-16,01:30:00,Friday,Sell,3221.93,3252.22,30.29,67.9,2.24,15,Stop Loss,01
2025-03-14,01:30:00,Friday,Sell,2987.7,2990.28,2.58,5.94,2.3,1,Stop Loss,01
2025-08-11,01:30:00,Monday,Sell,3377.31,3405.06,27.75,65.79,2.37,81,Stop Loss,01
2023-03-29,01:30:00,Wednesday,Sell,1968.83,1974.52,5.69,13.55,2.38,9,Stop Loss,01
2018-10-31,01:30:00,Wednesday,Sell,1219.97,1223.38,3.41,8.11,2.38,8,Stop Loss,01
2023-03-15,01:30:00,Wednesday,Sell,1903.42,1905.23,1.81,4.33,2.39,1,Stop Loss,01
2023-03-14,01:30:00,Tuesday,Sell,1905.8,1914.25,8.45,20.16,2.39,9,Stop Loss,01
2020-09-30,01:30:00,Wednesday,Sell,1894.11,1899.43,5.32,12.87,2.42,3,Stop Loss,01
2025-05-15,01:30:00,Thursday,Sell,3172.09,3192.82,20.73,51.23,2.47,3,Stop Loss,01
2024-05-07,01:30:00,Tuesday,Sell,2322.52,2330.04,7.52,18.99,2.53,16,Stop Loss,01
2011-10-31,01:30:00,Monday,Sell,1726.7,1745.1,18.4,47.1,2.56,21,Stop Loss,01
2025-05-12,01:30:00,Monday,Sell,3271.42,3329.14,57.72,150.56,2.61,48,Stop Loss,01
2010-10-15,01:30:00,Friday,Sell,1378.35,1383.1,4.75,12.4,2.61,3,Stop Loss,01
2011-11-04,01:30:00,Friday,Sell,1760.3,1764.7,4.4,11.81,2.68,6,Stop Loss,01
2010-11-05,01:30:00,Friday,Sell,1388.7,1394.4,5.7,15.25,2.68,4,Stop Loss,01
2025-06-23,01:30:00,Monday,Sell,3354.88,3394.06,39.18,108.04,2.76,123,Stop Loss,01
2019-03-14,01:30:00,Thursday,Sell,1305.85,1310.45,4.6,13.11,2.85,21,Stop Loss,01
2024-06-17,01:30:00,Monday,Sell,2325.98,2332.7,6.72,19.49,2.9,10,Stop Loss,01
2022-03-18,01:30:00,Friday,Sell,1936.39,1945.39,9.0,26.07,2.9,23,Stop Loss,01
2021-10-05,01:30:00,Tuesday,Sell,1763.93,1770.2,6.27,18.22,2.91,21,Stop Loss,01
