date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,hour
2013-10-28,13:30:00,Monday,Sell,1350.68,1354.57,3.89,0.0,SL,1,Stop Loss,13
2014-03-13,13:30:00,Thursday,Sell,1366.02,1373.54,7.52,0.53,SL,1,Stop Loss,13
2014-03-20,13:30:00,Thursday,Sell,1326.07,1328.31,2.24,1.44,SL,1,Stop Loss,13
2014-09-22,13:30:00,Monday,Sell,1213.77,1217.33,3.56,1.65,SL,1,Stop Loss,13
2014-10-02,13:30:00,Thursday,Sell,1212.25,1217.17,4.92,2.55,SL,1,Stop Loss,13
2014-10-03,13:30:00,Friday,Sell,1195.66,1209.52,13.86,12.99,SL,11,Stop Loss,13
2014-10-10,13:30:00,Friday,Sell,1219.38,1225.55,6.17,0.28,SL,3,Stop Loss,13
2014-10-16,13:30:00,Thursday,Sell,1237.23,1244.09,6.86,0.24,SL,1,Stop Loss,13
2014-10-17,13:30:00,Friday,Sell,1233.96,1240.65,6.69,2.41,SL,5,Stop Loss,13
2015-03-12,13:30:00,Thursday,Sell,1153.1,1161.66,8.56,4.65,SL,10,Stop Loss,13
2015-03-18,13:30:00,Wednesday,Sell,1147.37,1152.94,5.57,0.38,SL,1,Stop Loss,13
2015-03-19,13:30:00,Thursday,Sell,1164.06,1167.82,3.76,1.78,SL,1,Stop Loss,13
2015-09-22,13:30:00,Tuesday,Sell,1123.5,1132.45,8.95,1.72,SL,6,Stop Loss,13
2015-10-08,13:30:00,Thursday,Sell,1139.01,1145.33,6.32,0.02,SL,1,Stop Loss,13
2015-10-09,13:30:00,Friday,Sell,1151.26,1158.05,6.79,0.13,SL,1,Stop Loss,13
2015-10-21,13:30:00,Wednesday,Sell,1166.86,1177.91,11.05,8.03,SL,12,Stop Loss,13
2015-10-23,13:30:00,Friday,Sell,1160.68,1179.5,18.82,0.95,SL,18,Stop Loss,13
2015-10-27,13:30:00,Tuesday,Sell,1165.0,1168.87,3.87,0.0,SL,4,Stop Loss,13
2016-03-15,13:30:00,Tuesday,Sell,1230.08,1238.23,8.15,3.48,SL,8,Stop Loss,13
2016-03-16,13:30:00,Wednesday,Sell,1230.54,1234.4,3.86,2.87,SL,2,Stop Loss,13
2016-03-18,13:30:00,Friday,Sell,1252.11,1255.46,3.35,2.13,SL,1,Stop Loss,13
2016-10-06,13:30:00,Thursday,Sell,1254.16,1268.35,14.19,12.89,SL,53,Stop Loss,13
2016-10-11,13:30:00,Tuesday,Sell,1253.66,1257.83,4.17,0.48,SL,1,Stop Loss,13
2016-10-14,13:30:00,Friday,Sell,1251.58,1254.68,3.1,0.13,SL,1,Stop Loss,13
2016-10-18,13:30:00,Tuesday,Sell,1257.48,1264.11,6.63,0.68,SL,1,Stop Loss,13
2016-10-19,13:30:00,Wednesday,Sell,1269.47,1272.42,2.95,1.98,SL,1,Stop Loss,13
2016-10-24,13:30:00,Monday,Sell,1265.32,1272.0,6.68,5.24,SL,7,Stop Loss,13
2016-10-25,13:30:00,Tuesday,Sell,1267.82,1271.09,3.27,0.0,SL,1,Stop Loss,13
2016-10-27,13:30:00,Thursday,Sell,1267.06,1272.83,5.77,5.68,SL,6,Stop Loss,13
2017-03-15,13:30:00,Wednesday,Sell,1199.67,1202.98,3.31,2.38,SL,1,Stop Loss,13
2017-03-20,13:30:00,Monday,Sell,1231.21,1233.61,2.4,0.39,SL,1,Stop Loss,13
2017-09-22,13:30:00,Friday,Sell,1295.15,1297.61,2.46,1.21,SL,1,Stop Loss,13
2017-09-25,13:30:00,Monday,Sell,1293.44,1296.27,2.83,1.1,SL,1,Stop Loss,13
2017-09-28,13:30:00,Thursday,Sell,1283.77,1286.36,2.59,1.82,SL,1,Stop Loss,13
2017-10-06,13:30:00,Friday,Sell,1260.65,1270.45,9.8,0.0,SL,1,Stop Loss,13
2017-10-09,13:30:00,Monday,Sell,1280.98,1284.19,3.21,1.66,SL,2,Stop Loss,13
2017-10-12,13:30:00,Thursday,Sell,1290.94,1296.38,5.44,1.41,SL,4,Stop Loss,13
2017-10-18,13:30:00,Wednesday,Sell,1279.74,1283.63,3.89,3.45,SL,5,Stop Loss,13
2017-10-23,13:30:00,Monday,Sell,1274.26,1276.46,2.2,0.96,SL,1,Stop Loss,13
2017-10-24,13:30:00,Tuesday,Sell,1276.22,1279.66,3.44,2.66,SL,2,Stop Loss,13
2017-10-27,13:30:00,Friday,Sell,1265.64,1268.7,3.06,0.25,SL,1,Stop Loss,13
2017-10-31,13:30:00,Tuesday,Sell,1271.32,1275.79,4.47,3.78,SL,5,Stop Loss,13
2017-11-01,13:30:00,Wednesday,Sell,1272.91,1280.93,8.02,0.28,SL,3,Stop Loss,13
2018-03-12,13:30:00,Monday,Sell,1317.07,1319.52,2.45,1.03,SL,1,Stop Loss,13
2018-03-16,13:30:00,Friday,Sell,1312.93,1321.85,8.92,5.89,SL,18,Stop Loss,13
2018-03-20,13:30:00,Tuesday,Sell,1309.26,1313.62,4.36,2.22,SL,4,Stop Loss,13
2018-09-27,13:30:00,Thursday,Sell,1184.01,1196.25,12.24,3.37,SL,18,Stop Loss,13
2018-10-08,13:30:00,Monday,Sell,1185.83,1194.64,8.81,3.18,SL,14,Stop Loss,13
2018-10-09,13:30:00,Tuesday,Sell,1185.05,1188.48,3.43,0.0,SL,1,Stop Loss,13
2018-10-18,13:30:00,Thursday,Sell,1222.59,1226.41,3.82,0.0,SL,1,Stop Loss,13
2018-10-22,13:30:00,Monday,Sell,1221.82,1224.63,2.81,1.87,SL,4,Stop Loss,13
2018-10-25,13:30:00,Thursday,Sell,1230.43,1235.54,5.11,2.46,SL,5,Stop Loss,13
2018-10-26,13:30:00,Friday,Sell,1234.1,1237.42,3.32,3.25,SL,1,Stop Loss,13
2018-10-31,13:30:00,Wednesday,Sell,1212.32,1218.84,6.52,0.09,SL,5,Stop Loss,13
2019-03-14,13:30:00,Thursday,Sell,1294.39,1299.28,4.89,1.24,SL,4,Stop Loss,13
2019-09-24,13:30:00,Tuesday,Sell,1517.37,1523.21,5.84,0.13,SL,1,Stop Loss,13
2019-09-27,13:30:00,Friday,Sell,1491.6,1497.15,5.55,1.89,SL,1,Stop Loss,13
2019-10-01,13:30:00,Tuesday,Sell,1463.97,1470.27,6.3,0.0,SL,1,Stop Loss,13
2019-10-04,13:30:00,Friday,Sell,1498.52,1515.8,17.28,11.8,SL,21,Stop Loss,13
2019-10-11,13:30:00,Friday,Sell,1482.6,1495.96,13.36,8.72,SL,5,Stop Loss,13
2019-10-14,13:30:00,Monday,Sell,1491.11,1497.22,6.11,5.41,SL,6,Stop Loss,13
2019-10-15,13:30:00,Tuesday,Sell,1487.34,1498.66,11.32,10.45,SL,42,Stop Loss,13
2019-10-28,13:30:00,Monday,Sell,1492.05,1506.79,14.74,11.0,SL,18,Stop Loss,13
2019-10-29,13:30:00,Tuesday,Sell,1485.55,1494.18,8.63,1.17,SL,6,Stop Loss,13
2020-03-10,13:30:00,Tuesday,Sell,1653.41,1667.66,14.25,12.04,SL,6,Stop Loss,13
2020-03-16,13:30:00,Monday,Sell,1470.4,1528.32,57.92,6.05,SL,7,Stop Loss,13
2020-03-20,13:30:00,Friday,Sell,1489.44,1514.22,24.78,10.32,SL,6,Stop Loss,13
2020-10-07,13:30:00,Wednesday,Sell,1882.96,1891.97,9.01,3.9,SL,5,Stop Loss,13
2020-10-13,13:30:00,Tuesday,Sell,1895.56,1924.19,28.63,13.33,SL,36,Stop Loss,13
2020-10-15,13:30:00,Thursday,Sell,1895.33,1902.28,6.95,3.61,SL,1,Stop Loss,13
2020-10-20,13:30:00,Tuesday,Sell,1900.58,1908.17,7.59,3.12,SL,1,Stop Loss,13
2020-10-28,13:30:00,Wednesday,Sell,1876.0,1900.94,24.94,16.22,SL,24,Stop Loss,13
2020-10-29,13:30:00,Thursday,Sell,1871.44,1879.63,8.19,7.3,SL,6,Stop Loss,13
2021-03-17,13:30:00,Wednesday,Sell,1727.97,1737.2,9.23,4.14,SL,2,Stop Loss,13
2021-03-18,13:30:00,Thursday,Sell,1722.73,1737.81,15.08,1.39,SL,5,Stop Loss,13
2021-03-19,13:30:00,Friday,Sell,1735.73,1743.77,8.04,1.46,SL,2,Stop Loss,13
2021-09-22,13:30:00,Wednesday,Sell,1774.0,1778.47,4.47,1.23,SL,1,Stop Loss,13
2021-09-24,13:30:00,Friday,Sell,1742.5,1757.68,15.18,0.0,SL,3,Stop Loss,13
2021-09-28,13:30:00,Tuesday,Sell,1734.34,1741.32,6.98,3.05,SL,5,Stop Loss,13
2021-10-05,13:30:00,Tuesday,Sell,1752.76,1761.5,8.74,4.31,SL,1,Stop Loss,13
2021-10-07,13:30:00,Thursday,Sell,1758.51,1764.81,6.3,5.29,SL,6,Stop Loss,13
2021-10-15,13:30:00,Friday,Sell,1771.34,1783.86,12.52,11.19,SL,12,Stop Loss,13
2021-10-21,13:30:00,Thursday,Sell,1779.43,1787.77,8.34,1.22,SL,4,Stop Loss,13
2021-10-26,13:30:00,Tuesday,Sell,1789.67,1804.7,15.03,7.43,SL,12,Stop Loss,13
2021-10-29,13:30:00,Friday,Sell,1773.72,1798.55,24.83,15.06,SL,25,Stop Loss,13
2021-11-03,13:30:00,Wednesday,Sell,1766.73,1785.74,19.01,8.07,SL,6,Stop Loss,13
2022-10-13,13:30:00,Thursday,Sell,1648.26,1682.47,34.21,31.75,SL,109,Stop Loss,13
2022-10-14,13:30:00,Friday,Sell,1650.22,1664.06,13.84,10.21,SL,6,Stop Loss,13
2022-10-20,13:30:00,Thursday,Sell,1632.33,1640.26,7.93,2.88,SL,1,Stop Loss,13
2022-10-26,13:30:00,Wednesday,Sell,1664.05,1672.08,8.03,0.18,SL,1,Stop Loss,13
2022-10-27,13:30:00,Thursday,Sell,1658.0,1665.27,7.27,1.36,SL,1,Stop Loss,13
2022-11-03,13:30:00,Thursday,Sell,1619.04,1625.25,6.21,0.21,SL,1,Stop Loss,13
2023-03-22,13:30:00,Wednesday,Sell,1942.6,1945.45,2.85,0.13,SL,1,Stop Loss,13
2023-03-27,13:30:00,Monday,Sell,1948.88,1958.32,9.44,3.17,SL,1,Stop Loss,13
2023-03-30,13:30:00,Thursday,Sell,1966.34,1975.43,9.09,2.47,SL,1,Stop Loss,13
